id,code,name,industry,foundation,sales,profit,cagr,answer1,answer2,
66,8841,テーオーシー,オフィス・商業施設開発・賃貸,http://www.toc.co.jp/toc/,218,31,1,4,1,
67,8331,千葉銀行,地方銀行,http://www.chibabank.co.jp/,2278,31,0,4,1,
68,3969,エイトレッド,ソフトウェア（業務支援）,https://www.atled.jp/,10,30,N/A,4,1,
69,6541,グレイステクノロジー,アウトソーシングサービス,https://www.g-race.com/,10,30,N/A,4,1,
70,6194,アトラエ,人材紹介,http://atrae.co.jp/,13,30,N/A,4,1,
71,3925,ダブルスタンダード,販促支援サービス,http://www.double-std.com/,14,30,N/A,4,1,
72,7447,ナガイレーベン,医療用サプライ,http://www.nagaileben.co.jp/,165,30,3,4,1,
73,2193,クックパッド,専門情報サイト,http://cookpad.com/,168,30,28,4,1,
74,4521,科研製薬,医療用医薬品,http://www.kaken.co.jp/,1015,30,3,4,1,
75,8385,伊予銀行,地方銀行,http://www.iyobank.co.jp/,1173,30,0,4,1,
76,8410,セブン銀行,ネット・ATM専業銀行,http://www.sevenbank.co.jp/,1216,30,5,4,1,
77,4716,日本オラクル,ソフトウェア（ERP）,http://www.oracle.com/jp/,1732,30,2,4,1,
78,4528,小野薬品工業,医療用医薬品,http://www.ono.co.jp/,2448,30,11,4,1,
79,7186,コンコルディア・フィナンシャルグループ,地方銀行,http://www.concordia-fg.jp/,3295,30,N/A,4,1,
80,8308,りそなホールディングス,都市銀行,http://www.resona-gr.co.jp/,7580,30,-2,4,1,
81,6156,エーワン精密,切削工具,http://www.a-one-seimitsu.co.jp/,19,29,2,4,1,
82,3912,モバイルファクトリー,モバイルコンテンツ制作・配信,http://www.mobilefactory.jp/,21,29,12,4,1,
83,6049,イトクロ,専門情報サイト,http://www.itokuro.jp/,47,29,N/A,4,1,
84,5194,相模ゴム工業,衛生ゴム,http://www.sagami-gomu.co.jp/,57,29,7,4,1,
85,6920,レーザーテック,半導体・液晶製造装置（前工程）,http://www.Lasertec.co.jp/,174,29,9,4,1,
86,3543,コメダホールディングス,喫茶・カフェ,http://www.komeda-holdings.co.jp/,241,29,N/A,4,1,
87,8388,阿波銀行,地方銀行,http://www.awabank.co.jp/,691,29,1,4,1,
88,6273,SMC,油圧・空圧機器,http://www.smcworld.com/,4876,29,9,4,1,
89,6954,ファナック,多関節産業用ロボット,http://www.fanuc.co.jp/,5369,29,2,4,1,
90,6625,JALCOホールディングス,スイッチ・コネクタ,http://www.jalco-hd.com/,4,28,-12,4,1,
91,8191,光製作所,家具卸,http://www.hikari-ss.co.jp/,93,28,0,4,1,
